Value,Description
Canals3. Enhanced,Canals
Canals3. Enhanced,Ditches
Canals3. Enhanced,Other rivers and streams
Canals3. Enhanced,Priority habitat
Canals4. Lost,N/A
Canals2. Retained,Canals
Culvert3. Enhanced,Canals
Culvert3. Enhanced,Ditches
Culvert3. Enhanced,Other rivers and streams
Culvert3. Enhanced,Priority habitat
Culvert4. Lost,N/A
Culvert2. Retained,Culvert
Ditches3. Enhanced,Canals
Ditches3. Enhanced,Ditches
Ditches3. Enhanced,Other rivers and streams
Ditches3. Enhanced,Priority habitat
Ditches4. Lost,N/A
Ditches2. Retained,Ditches
Other rivers and streams3. Enhanced,Canals
Other rivers and streams3. Enhanced,Ditches
Other rivers and streams3. Enhanced,Other rivers and streams
Other rivers and streams3. Enhanced,Priority habitat
Other rivers and streams4. Lost,N/A
Other rivers and streams2. Retained,Other rivers and streams
Priority habitat3. Enhanced,Canals
Priority habitat3. Enhanced,Ditches
Priority habitat3. Enhanced,Other rivers and streams
Priority habitat3. Enhanced,Priority habitat
Priority habitat4. Lost,N/A
Priority habitat2. Retained,Priority habitat
To be created1. Created,Canals
To be created1. Created,Culvert
To be created1. Created,Ditches
To be created1. Created,Other rivers and streams
To be created1. Created,Priority habitat
